Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,BasketTP_USD,BasketSL_USD,TrailActivate_USD,TrailDistance_USD
29,6430.27,-3569.73,-2.231081,0.663298,-0.839328,-5.000000,0,40.6522,1600,30,6,6,2
28,6430.27,-3569.73,-2.231081,0.663298,-0.839328,-5.000000,0,40.6522,1600,25,6,6,2
27,6430.27,-3569.73,-2.231081,0.663298,-0.839328,-5.000000,0,40.6522,1600,20,6,6,2
336,6429.55,-3570.45,-3.245864,0.686036,-0.826711,-5.000000,0,42.1235,1100,15,10,10,4
524,6428.48,-3571.52,-2.667304,0.666461,-0.617147,-5.000000,0,54.8334,1339,30,14,4,6
82,6422.87,-3577.13,-2.718184,0.693448,-0.740539,-5.000000,0,44.2133,1316,20,8,10,2
538,6415.38,-3584.62,-2.453539,0.689340,-0.608657,-5.000000,0,53.4624,1461,25,10,6,6
297,6414.50,-3585.50,-2.575790,0.729520,-0.896348,-5.000000,0,39.0148,1392,20,14,6,4
313,6414.09,-3585.91,-2.570545,0.723552,-0.809466,-5.000000,0,42.3876,1395,25,10,8,4
527,6409.50,-3590.50,-2.223220,0.683211,-0.746956,-5.000000,0,44.9549,1615,20,6,6,6
358,6385.46,-3614.54,-3.193057,0.682424,-0.707359,-5.000000,0,49.8390,1132,25,8,12,4
294,6385.22,-3614.78,-2.540253,0.721552,-0.710574,-5.000000,0,49.6168,1423,30,12,6,4
293,6385.22,-3614.78,-2.540253,0.721552,-0.710574,-5.000000,0,49.6168,1423,25,12,6,4
104,6382.66,-3617.34,-2.634625,0.708088,-0.720738,-5.000000,0,48.9517,1373,30,6,12,2
103,6382.66,-3617.34,-2.634625,0.708088,-0.720738,-5.000000,0,48.9517,1373,25,6,12,2
523,6381.26,-3618.74,-2.682535,0.661807,-0.625306,-5.000000,0,54.8334,1349,25,14,4,6
374,6381.22,-3618.78,-3.597197,0.744920,-0.672993,-5.000000,0,52.4454,1006,30,14,12,4
421,6364.42,-3635.58,-2.733519,0.701565,-0.777315,-5.000000,0,44.5540,1330,15,14,6,5
489,6361.31,-3638.69,-3.359825,0.708696,-0.697352,-5.000000,0,50.8919,1083,30,10,12,5
107,6347.71,-3652.29,-3.069151,0.688556,-0.750527,-5.000000,0,47.4629,1190,20,8,12,2
298,6346.58,-3653.42,-2.624583,0.724396,-0.898079,-5.000000,0,39.6772,1392,25,14,6,4
244,6339.04,-3660.96,-3.809532,0.715658,-0.528010,-5.000000,0,67.6252,961,30,12,12,3
243,6339.04,-3660.96,-3.809532,0.715658,-0.528010,-5.000000,0,67.6252,961,25,12,12,3
537,6323.77,-3676.23,-2.537081,0.684170,-0.630029,-5.000000,0,52.9689,1449,20,10,6,6
483,6315.29,-3684.71,-3.374277,0.655254,-0.648009,-5.000000,0,55.4598,1092,25,8,12,5
106,6312.33,-3687.67,-3.277929,0.674625,-0.759973,-5.000000,0,47.3271,1125,15,8,12,2
520,6297.01,-3702.99,-2.728806,0.699405,-0.752688,-5.000000,0,47.8435,1357,10,14,4,6
356,6296.22,-3703.78,-3.367073,0.673603,-0.713410,-5.000000,0,50.6363,1100,15,8,12,4
296,6295.02,-3704.98,-2.706340,0.720723,-0.899354,-5.000000,0,40.1801,1369,15,14,6,4
606,6274.38,-3725.62,-3.338369,0.666456,-0.749319,-5.000000,0,48.4940,1116,15,8,12,6
363,6271.20,-3728.80,-3.225606,0.724664,-0.754358,-5.000000,0,48.2111,1156,25,10,12,4
461,6267.63,-3732.37,-3.308839,0.682274,-0.734461,-5.000000,0,48.3296,1128,15,10,10,5
191,6246.78,-3753.22,-3.330275,0.693028,-0.630362,-5.000000,0,58.0724,1127,15,12,8,3
169,6245.98,-3754.02,-3.024996,0.654884,-0.746898,-5.000000,0,49.0010,1241,30,12,6,3
168,6245.98,-3754.02,-3.024996,0.654884,-0.746898,-5.000000,0,49.0010,1241,25,12,6,3
167,6245.98,-3754.02,-3.024996,0.654884,-0.746898,-5.000000,0,49.0010,1241,20,12,6,3
471,6228.63,-3771.37,-3.668648,0.694252,-0.738971,-5.000000,0,48.6163,1028,15,14,10,5
463,6227.16,-3772.84,-3.159832,0.693420,-0.740459,-5.000000,0,48.5826,1194,25,10,10,5
458,6225.31,-3774.69,-3.137731,0.651082,-0.740553,-5.000000,0,48.6002,1203,25,8,10,5
227,6221.21,-3778.79,-2.994287,0.678419,-0.705846,-5.000000,0,52.2154,1262,20,6,12,3
582,6218.54,-3781.46,-2.858246,0.680240,-0.665741,-5.000000,0,51.3382,1323,20,8,10,6
346,6217.17,-3782.83,-3.647859,0.689085,-0.760504,-5.000000,0,48.5145,1037,15,14,10,4
486,6216.31,-3783.69,-3.439718,0.717448,-0.698802,-5.000000,0,52.8101,1100,15,10,12,5
591,6209.15,-3790.85,-3.539542,0.690398,-0.655072,-5.000000,0,51.8472,1071,15,12,10,6
299,6203.75,-3796.25,-2.737022,0.713540,-0.901536,-5.000000,0,41.0703,1387,30,14,6,4
306,6203.49,-3796.51,-2.801852,0.656349,-0.840008,-5.000000,0,43.9509,1355,15,8,8,4
509,6202.44,-3797.56,-2.552124,0.609576,-0.782001,-5.000000,0,46.6203,1488,30,8,4,6
211,6190.92,-3809.08,-3.367887,0.679436,-0.812945,-5.000000,0,45.6998,1131,15,10,10,3
466,6188.25,-3811.75,-3.707928,0.668216,-0.741020,-5.000000,0,49.0010,1028,15,12,10,5
312,6182.92,-3817.08,-2.844322,0.698321,-0.818916,-5.000000,0,44.5995,1342,20,10,8,4
309,6180.17,-3819.83,-2.835805,0.658210,-0.808659,-5.000000,0,45.9352,1347,30,8,8,4
609,6175.73,-3824.27,-3.514954,0.643933,-0.658469,-5.000000,0,56.6460,1088,30,8,12,6
64,6171.57,-3828.43,-2.854907,0.704056,-0.829113,-5.000000,0,44.4110,1341,30,10,8,2
459,6164.85,-3835.15,-3.174793,0.652153,-0.743595,-5.000000,0,49.1767,1208,30,8,10,5
323,6164.62,-3835.38,-3.041538,0.719082,-0.868474,-5.000000,0,43.0732,1261,25,14,8,4
589,6148.78,-3851.22,-3.274847,0.689025,-0.647571,-5.000000,0,53.9870,1176,30,10,10,6
314,6147.94,-3852.06,-2.842849,0.698563,-0.820264,-5.000000,0,44.9342,1355,30,10,8,4
62,6141.28,-3858.72,-2.868937,0.701822,-0.830227,-5.000000,0,44.7023,1345,20,10,8,2
528,6140.18,-3859.82,-2.381135,0.654675,-0.760382,-5.000000,0,47.4737,1621,25,6,6,6
63,6139.01,-3860.99,-2.859993,0.701682,-0.830310,-5.000000,0,44.7242,1350,25,10,8,2
347,6112.80,-3887.20,-3.691548,0.698696,-0.865993,-5.000000,0,43.6922,1053,20,14,10,4
616,6098.30,-3901.70,-4.208954,0.689479,-0.600906,-5.000000,0,63.3291,927,15,12,12,6
40,6091.01,-3908.99,-2.820339,0.703364,-0.719436,-5.000000,0,51.8296,1386,10,12,6,2
444,6086.16,-3913.84,-3.294478,0.667160,-0.715235,-5.000000,0,52.1756,1188,30,12,8,5
349,6074.44,-3925.56,-3.679063,0.693547,-0.871106,-5.000000,0,43.9528,1067,30,14,10,4
506,6066.60,-3933.40,-2.610086,0.606229,-0.787898,-5.000000,0,47.9265,1507,15,8,4,6
61,6060.69,-3939.31,-2.922337,0.695002,-0.833120,-5.000000,0,45.4774,1348,15,10,8,2
442,6052.51,-3947.49,-3.379700,0.662243,-0.716976,-5.000000,0,52.4965,1168,20,12,8,5
508,6051.10,-3948.90,-2.646716,0.594211,-0.800914,-5.000000,0,47.3334,1492,25,8,4,6
234,6050.58,-3949.42,-3.366939,0.669376,-0.796853,-5.000000,0,48.3405,1173,30,8,12,3
457,6046.07,-3953.93,-3.254263,0.638406,-0.749367,-5.000000,0,50.3093,1215,20,8,10,5
311,6042.29,-3957.71,-3.023461,0.678249,-0.824219,-5.000000,0,45.9451,1309,15,10,8,4
477,6032.36,-3967.64,-3.348219,0.645666,-0.672627,-5.000000,0,57.5325,1185,20,6,12,5
482,6030.57,-3969.43,-3.638341,0.637016,-0.703634,-5.000000,0,55.0221,1091,20,8,12,5
308,6028.83,-3971.17,-2.939430,0.644816,-0.840698,-5.000000,0,45.9352,1351,25,8,8,4
487,6019.81,-3980.19,-3.751357,0.683680,-0.715943,-5.000000,0,54.2227,1061,20,10,12,5
